Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s
1743,Luis Muriel,co COL,FW,Sevilla,es La Liga,26,1991,29,17,1608,17.9
1744,Jeison Murillo,co COL,DF,Valencia,es La Liga,25,1992,17,15,1374,15.3
1745,Jacob Murphy,eng ENG,MFFW,Newcastle Utd,eng Premier League,22,1995,25,13,1148,12.8
1746,Jamie Murphy,sct SCO,MF,Brighton,eng Premier League,27,1989,4,1,168,1.9
1747,Glenn Murray,eng ENG,FW,Brighton,eng Premier League,33,1983,35,25,2192,24.4
1748,Nicola Murru,it ITA,DF,Sampdoria,it Serie A,22,1994,20,16,1449,16.1
1749,Mateo Musacchio,ar ARG,DF,Milan,it Serie A,26,1990,15,12,1202,13.4
1750,Charly Musonda Jr.,be BEL,FW,Chelsea,eng Premier League,20,1996,3,0,37,0.4
1751,Shkodran Mustafi,de GER,DF,Arsenal,eng Premier League,25,1992,27,25,2273,25.3
1752,Yoshinori Mutō,jp JPN,FW,Mainz 05,de Bundesliga,25,1992,27,20,1904,21.2
1753,Fahad Al Muwallad,sa KSA,MF,Levante,es La Liga,22,1994,2,0,27,0.3
1754,Yvon Mvogo,ch SUI,GK,RB Leipzig,de Bundesliga,23,1994,1,1,90,1
1755,Boaz Myhill,wls WAL,GK,West Brom,eng Premier League,34,1982,1,1,90,1
1756,Alfred N'Diaye,sn SEN,DFMF,Villarreal,es La Liga,27,1990,2,1,101,1.1
1757,Kévin N'Doram,fr FRA,MFDF,Monaco,fr Ligue 1,21,1996,11,7,721,8
1758,Abdallah N'dour,sn SEN,DF,Strasbourg,fr Ligue 1,23,1993,5,3,253,2.8
1759,Clinton N'Jie,cm CMR,FW,Marseille,fr Ligue 1,23,1993,22,9,874,9.7
1760,Georges-Kévin N'Koudou,cm CMR,MF,Tottenham,eng Premier League,22,1995,1,0,1,0
1761,Georges-Kévin N'Koudou,cm CMR,MFFW,Burnley,eng Premier League,22,1995,8,2,228,2.5
1762,Stanley N'Soki,fr FRA,DF,Paris S-G,fr Ligue 1,18,1999,1,0,26,0.3
1763,Nacho,es ESP,DF,Real Madrid,es La Liga,27,1990,27,22,2074,23
1764,Yuto Nagatomo,jp JPN,DF,Inter,it Serie A,30,1986,11,9,790,8.8
1765,Ádám Nagy,hu HUN,MF,Bologna,it Serie A,22,1995,12,8,711,7.9
1766,Matías Nahuel,es ESP,MFFW,Betis,es La Liga,20,1996,7,3,251,2.8
1767,Radja Nainggolan,be BEL,MF,Roma,it Serie A,29,1988,31,31,2613,29
1768,Préjuce Nakoulma,bf BFA,FW,Nantes,fr Ligue 1,30,1987,18,13,1148,12.8
1769,Naldo,br BRA,DF,Espanyol,es La Liga,28,1988,11,10,921,10.2
1770,Naldo,br BRA,DF,Schalke 04,de Bundesliga,34,1982,34,34,3060,34
1771,Andrea Nalini,it ITA,FWMF,Crotone,it Serie A,27,1990,23,19,1638,18.2
1772,Nani,pt POR,FWMF,Lazio,it Serie A,30,1986,18,2,387,4.3
1773,Nano,es ESP,FW,Levante,es La Liga,22,1995,9,2,279,3.1
1774,Naranjo,es ESP,MFFW,Leganés,es La Liga,23,1994,16,6,562,6.2
1775,Luciano Narsingh,nl NED,FWMF,Swansea City,eng Premier League,26,1990,18,5,625,6.9
1776,Nikolas Nartey,dk DEN,MF,Köln,de Bundesliga,17,2000,1,0,7,0.1
1777,Juanjo Narváez,co COL,MF,Betis,es La Liga,22,1995,7,4,304,3.4
1778,Matija Nastasić,rs SRB,DF,Schalke 04,de Bundesliga,24,1993,24,22,1989,22.1
1779,Nathan,br BRA,MF,Amiens,fr Ligue 1,21,1996,1,0,10,0.1
