Player,Nation,Squad,score
Rafael Borré,COL,Eint Frankfurt,81.18
Patrick Berg,NOR,Lens,9.42
Mitchell van Bergen,NED,Reims,27.43
Jason Berthomier,FRA,Clermont Foot,53.41
Ryan Bertrand,ENG,Leicester City,9.68
Giulian Biancone,FRA,Troyes,76.33
Pedro Bigas,ESP,Elche,53.39
Nicolás González,ARG,Fiorentina,67.33
Jean-Claude Billong,CMR,Clermont Foot,28.94
Luis Binks,ENG,Bologna,20.08
Sebastian Polter,GER,Bochum,75.22
Jérôme Boateng,GER,Lyon,52.05
Kevin-Prince Boateng,GHA,Hertha BSC,23.19
Herbert Bockhorn,GER,Bochum,28.86
Jeremie Boga,CIV,Atalanta,24.36
Luka Bogdan,CRO,Salernitana,15.40
Emil Bohinen,NOR,Salernitana,27.47
Federico Bonazzoli,ITA,Salernitana,71.65
Kevin Bonifazi,ITA,Bologna,37.89
Sebastiaan Bornauw,BEL,Wolfsburg,67.28
Mehdi Bourabia,MAR,Spezia,8.64
Bilal Brahimi,ALG,Nice,11.04
Josip Brekalo,CRO,Torino,68.68
Joshua King,NOR,Watford,60.39
Bryan,ESP,Valencia,22.71
Emi Buendía,ARG,Aston Villa,54.84
Osman Bukari,GHA,Nantes,29.76
Dan Burn,ENG,Newcastle Utd,48.42
Maxime Busi,BEL,Reims,38.17
Gianluca Busio,USA,Venezia,61.72
Beto,GNB,Udinese,61.44
Milan Đurić,BIH,Salernitana,79.31
Rémy Cabella,FRA,Montpellier,9.91
Liberato Cacace,NZL,Empoli,13.85
Martín Cáceres,URU,Cagliari,26.19
Martín Cáceres,URU,Levante,20.38
Moisés Caicedo,ECU,Brighton,19.38
Jens Cajuste,SWE,Reims,10.35
Mattia Caldara,ITA,Venezia,85.13
Hakan Çalhanoğlu,TUR,Inter,72.19
Gianluca Scamacca,ITA,Sassuolo,58.85
Eduardo Camavinga,FRA,Real Madrid,40.30
Andrea Cambiaso,ITA,Genoa,57.83
Fali Candé,GNB,Metz,28.20
Sergi Canós,ESP,Brentford,61.16
Álex Cantero,ESP,Levante,17.83
Gianluca Caprari,ITA,Hellas Verona,84.35
Igor Carioca,BRA,Lorient,49.14
Nicolò Casale,ITA,Hellas Verona,79.79
Gonzalo Castro,GER,Arminia,15.69
Catena,ESP,Rayo Vallecano,100.00
Thomas Henry,FRA,Venezia,63.02
Pietro Ceccaroni,ITA,Venezia,100.00
Franco Cervi,ARG,Celta Vigo,52.75
Trevoh Chalobah,ENG,Chelsea,43.14
Calum Chambers,ENG,Aston Villa,24.43
Dylan Chambost,FRA,Troyes,25.51
Chapela,ESP,Cádiz,11.52
Xavier Chavalerin,FRA,Troyes,88.20
Max Christiansen,GER,Greuther Fürth,79.81
Carney Chukwuemeka,ENG,Aston Villa,8.67
Víctor Chust,ESP,Cádiz,55.20
Pathé Ciss,SEN,Rayo Vallecano,33.90
André Silva,POR,RB Leipzig,68.80
Álex Collado,ESP,Granada,32.88
Ebrima Colley,GAM,Spezia,11.79
Nathan Collins,IRL,Burnley,47.17
Eray Cömert,SUI,Valencia,12.82
Abdu Conté,POR,Troyes,44.01
Maxwel Cornet,CIV,Burnley,48.89
Jesús Corona,MEX,Sevilla,33.21
Pedro,ESP,Lazio,57.70
David Pereira da Costa,POR,Lens,43.42
Hélder Costa,ANG,Valencia,33.45
Jaume Costa,ESP,Mallorca,58.15
Lassana Coulibaly,MLI,Salernitana,90.67
Mamadou Coulibaly,SEN,Salernitana,31.61
Philippe Coutinho,BRA,Aston Villa,38.62
Domen Črnigoj,SVN,Venezia,58.26
Jodel Dossou,BEN,Clermont Foot,54.38
Cucho,COL,Watford,32.31
Marc Cucurella,ESP,Brighton,94.81
Jorge Cuenca,ESP,Getafe,80.72
Mickaël Cuisance,FRA,Venezia,28.73
Armando Broja,ALB,Southampton,51.02
Valère Germain,FRA,Montpellier,56.32
Wylan Cyprien,FRA,Nantes,46.11
Lucas Da Cunha,FRA,Nice,11.47
Lucas Da Cunha,FRA,Clermont Foot,24.28
Damien Da Silva,FRA,Lyon,36.77
Kevin Danso,AUT,Lens,84.61
Jack Grealish,ENG,Manchester City,50.14
Konrad De La Fuente,USA,Marseille,21.64
Rodrigo De Paul,ARG,Atlético Madrid,68.71
Danny Ings,ENG,Aston Villa,50.61
Olivier Giroud,FRA,Milan,54.63
Romain Del Castillo,FRA,Brest,30.10
Thomas Delaney,DEN,Sevilla,44.49
Filippo Delli Carri,ITA,Salernitana,12.99
Mattia Zaccagni,ITA,Lazio,54.37
Kike,ESP,Osasuna,55.85
Memphis,NED,Barcelona,53.62
Merih Demiral,TUR,Atalanta,60.22
Emmanuel Dennis,NGA,Watford,72.04
Fabio Depaoli,ITA,Hellas Verona,21.27
Kiernan Dewsbury-Hall,ENG,Leicester City,60.16
Rafa Mir,ESP,Sevilla,47.83
Federico Di Francesco,ITA,Empoli,38.69
Francesco Di Tacchio,ITA,Salernitana,49.25
Stéphane Diarra,FRA,Lorient,16.19
Rey Manaj,ALB,Spezia,51.32
Lucas Digne,FRA,Aston Villa,37.40
Javairô Dilrosun,NED,Bordeaux,49.97
Alexander Sørloth,NOR,Real Sociedad,47.52
Federico Dimarco,ITA,Inter,42.46
Landry Dimata,BEL,Espanyol,15.24
Junior Dina Ebimbe,FRA,Paris S-G,10.84
Niklas Dorsch,GER,Augsburg,78.81
Kamory Doumbia,MLI,Reims,10.35
Sergi Guardiola,ESP,Rayo Vallecano,48.64
Kieran Dowell,ENG,Norwich City,27.36
Radu Drăgușin,ROU,Sampdoria,18.34
Radu Drăgușin,ROU,Salernitana,18.95
Jeremy Dudziak,TUN,Greuther Fürth,42.66
Denzel Dumfries,NED,Inter,55.94
Hugo Duro,ESP,Valencia,54.60
Donyell Malen,NED,Dortmund,54.41
Enzo Ebosse,CMR,Angers,58.73
Tyronne Ebuehi,NGA,Venezia,35.82
Éderson,BRA,Salernitana,44.51
Maximilian Eggestein,GER,Freiburg,70.33
Jurgen Ekkelenkamp,NED,Hertha BSC,23.31
Caleb Ekuban,GHA,Genoa,53.23
Alberth Elis,HON,Bordeaux,39.70
Harvey Elliott,ENG,Liverpool,9.78
Ishak Belfodil,ALG,Hertha BSC,51.74
Emerson,BRA,Tottenham,64.51
Christian Eriksen,DEN,Brentford,29.16
Gonzalo Escalante,ARG,Alavés,39.71
Sergio Escudero,ESP,Granada,47.12
Willian José,BRA,Betis,45.08
Maxime Estève,FRA,Montpellier,56.07
Oghenekaro Etebo,NGA,Watford,11.73
Romelu Lukaku,BEL,Chelsea,41.34
Romain Faivre,FRA,Lyon,28.32
Omar Marmoush,EGY,Stuttgart,46.32
Odsonne Édouard,FRA,Crystal Palace,41.33
Mohamed Fares,ALG,Genoa,18.72
Federico Fazio,ARG,Salernitana,56.45
Edimilson Fernandes,SUI,Arminia,10.35
Riccardo Fiamozzi,ITA,Empoli,18.53
Karol Fila,POL,Strasbourg,18.27
Luca Fiordilino,ITA,Venezia,21.07
Junior Firpo,ESP,Leeds United,48.75
Alexis Flips,FRA,Reims,30.55
Alessandro Florenzi,ITA,Milan,35.92
Adam Forshaw,ENG,Leeds United,43.65
Jim Allevinah,GAB,Clermont Foot,40.63
Dimitri Foulquier,FRA,Valencia,71.67
Przemysław Frankowski,POL,Lens,73.03
Enric Franquesa,ESP,Levante,18.81
Fransérgio,BRA,Bordeaux,36.63
Davide Frattesi,ITA,Sassuolo,82.92
Morten Frendrup,DEN,Genoa,22.45
Marvin Friedrich,GER,M'Gladbach,19.88
Chris Führich,GER,Stuttgart,54.00
Riccardo Gagliolo,SWE,Salernitana,44.77
Javi Galán,ESP,Celta Vigo,100.00
Iñigo Ruiz de Galarreta,ESP,Mallorca,44.31
Pablo Galdames Millán,CHI,Genoa,32.81
Thiago Galhardo,BRA,Celta Vigo,32.54
Conor Gallagher,ENG,Crystal Palace,80.59
Cristian Gamboa,CRC,Bochum,59.44
Arnaut Groeneveld,NED,Villarreal,43.63
Sandro Ramírez,ESP,Getafe,42.49
Yoann Touzghar,TUN,Troyes,44.70
Eric García,ESP,Barcelona,63.81
Francisco Garcia,ESP,Rayo Vallecano,93.58
Wout Weghorst,NED,Burnley,40.93
Vedat Muriqi,KVX,Mallorca,42.22
Johan Gastien,FRA,Clermont Foot,86.46
Gavi,ESP,Barcelona,68.78
Linus Gechter,GER,Hertha BSC,24.11
Joe Gelhardt,ENG,Leeds United,20.09
Gerson,BRA,Marseille,73.12
Willem Geubbels,FRA,Nantes,15.90
Adam Armstrong,ENG,Southampton,36.51
Saman Ghoddos,IRN,Brentford,15.96
Dimitris Giannoulis,GRE,Norwich City,36.50
Ben Gibson,ENG,Norwich City,77.44
Óscar Gil,ESP,Espanyol,49.77
Billy Gilmour,SCO,Norwich City,58.67
Nicholas Gioacchini,USA,Montpellier,14.59
Edoardo Goldaniga,ITA,Cagliari,29.35
Angel Gomes,ENG,Lille,26.97
Toti Gomes,POR,Wolves,10.58
Ferrán Torres,ESP,Barcelona,39.74
Sergi Gómez,ESP,Espanyol,80.91
Patrick Cutrone,ITA,Empoli,38.20
Giovanni González,URU,Mallorca,11.71
Nicolás González,ESP,Barcelona,33.66
Charlie Goode,ENG,Brentford,13.76
Alberto Grassi,ITA,Cagliari,68.62
Andrew Gravillon,GLP,Reims,61.84
Demarai Gray,ENG,Everton,73.84
Julian Green,USA,Greuther Fürth,40.50
Sebastian Griesbeck,GER,Greuther Fürth,93.26
Chris Wood,NZL,Newcastle Utd,43.93
Gabriel Gudmundsson,SWE,Lille,38.48
Marc Guéhi,ENG,Crystal Palace,96.42
Mattéo Guendouzi,FRA,Marseille,92.70
Josuha Guilavogui,FRA,Bordeaux,40.33
Bruno Guimarães,BRA,Newcastle Utd,35.74
Gerard Gumbau,ESP,Elche,64.24
Malo Gusto,FRA,Lyon,61.43
Albert Guðmundsson,ISL,Genoa,19.14
Joško Gvardiol,CRO,RB Leipzig,92.06
Norbert Gyömbér,SVK,Salernitana,100.00
Yoane Wissa,COD,Brentford,38.19
Nicolas Haas,SUI,Empoli,29.35
Robin Hack,GER,Arminia,48.86
Oualid El Hajjam,MAR,Troyes,35.80
Achraf Hakimi,MAR,Paris S-G,85.11
Ridgeciano Haps,SUR,Venezia,64.18
Genki Haraguchi,JPN,Union Berlin,54.25
Amine Harit,MAR,Marseille,33.88
Varazdat Haroyan,ARM,Cádiz,42.34
Abdou Harroui,NED,Sassuolo,13.70
Boulaye Dia,SEN,Villarreal,34.31
Hwang Hee-chan,KOR,Wolves,51.57
Hugo Ekitike,FRA,Reims,34.47
Silvan Hefti,SUI,Genoa,41.07
Dominique Heintz,GER,Union Berlin,15.05
Liam Henderson,SCO,Empoli,58.39
Henrique,BRA,Lyon,35.59
Dalbert Henrique,BRA,Cagliari,64.28
Matheus Henrique,BRA,Sassuolo,32.09
Rico Henry,ENG,Brentford,82.71
Lucas Pérez,ESP,Elche,41.29
Luis Hernández,ESP,Cádiz,41.86
Mario Hernández,ESP,Rayo Vallecano,12.10
Hernani,BRA,Genoa,21.58
Yangel Herrera,VEN,Espanyol,49.09
Piero Hincapié,ECU,Leverkusen,57.66
Gerrit Holtmann,PHI,Bochum,60.24
Martin Hongla,CMR,Hellas Verona,20.10
Justin Hoogma,NED,Greuther Fürth,10.91
Fraser Hornby,SCO,Reims,9.82
Cédric Hountondji,BEN,Clermont Foot,59.84
Petko Hristov,BUL,Spezia,38.48
Timo Hübers,GER,Köln,63.91
Will Hughes,ENG,Crystal Palace,30.38
Elseid Hysaj,ALB,Lazio,62.74
Keita Baldé,SEN,Cagliari,36.66
Adam Idah,IRL,Norwich City,18.47
Oussama Idrissi,MAR,Cádiz,27.09
Jonathan Iglesias,URU,Clermont Foot,17.57
Anthony Elanga,SWE,Manchester Utd,31.41
Danylo Ihnatenko,UKR,Bordeaux,20.74
Patson Daka,ZAM,Leicester City,30.46
Marcus Ingvartsen,DEN,Mainz 05,22.26
Bonke Innocent,NGA,Lorient,27.36
Jean-Philippe Mateta,FRA,Crystal Palace,32.40
Ardian Ismajli,ALB,Empoli,38.07
Hiroki Ito,JPN,Stuttgart,78.21
Janni Serra,GER,Arminia,38.53
Gian-Luca Itter,GER,Greuther Fürth,56.96
Lee Jae-sung,KOR,Mainz 05,47.85
Paul Jaeckel,GER,Union Berlin,65.80
Kristijan Jakić,CRO,Eint Frankfurt,62.64
Ismail Jakobs,SEN,Monaco,37.89
Abdel Jalil Medioub,ALG,Bordeaux,18.37
Daniel James,WAL,Leeds United,63.43
Vitaly Janelt,GER,Brentford,68.92
Jakub Jankto,CZE,Getafe,17.73
Pontus Jansson,SWE,Brentford,100.00
Paweł Jaroszyński,POL,Salernitana,20.11
Jason,ESP,Alavés,20.55
Pierre-Emerick Aubameyang,GAB,Barcelona,32.08
Jemerson,BRA,Metz,34.76
Mathias Jensen,DEN,Brentford,48.26
Moritz Jenz,GER,Lorient,43.44
Dušan Vlahović,SRB,Juventus,35.31
Juan Jesus,BRA,Napoli,38.67
João Pedro,BRA,Watford,46.57
Dennis Johnsen,NOR,Venezia,43.55
Tiago Tomás,POR,Stuttgart,32.61
Matheus Cunha,BRA,Atlético Madrid,33.32
Borja Mayoral,ESP,Getafe,33.48
Stevan Jovetić,MNE,Hertha BSC,33.16
Joaquín Correa,ARG,Inter,29.01
Flavio Junior Bianchi,ITA,Genoa,9.86
Mathias Jørgensen,DEN,Brentford,16.06
Ozan Kabak,TUR,Norwich City,28.35
Issa Kaboré,BFA,Troyes,73.49
Yayah Kallon,SLE,Genoa,19.79
Felix Kalu Nmecha,GER,Wolfsburg,10.48
Bamba Dieng,SEN,Marseille,25.87
Hassane Kamara,CIV,Watford,47.42
Jean-Armel Kana-Biyik,CMR,Metz,19.45
Myron Boadu,NED,Monaco,31.63
Lee Kangin,KOR,Mallorca,44.04
Grigoris Kastanos,CYP,Salernitana,52.76
Edo Kayembe,COD,Watford,23.64
Luis Díaz,COL,Liverpool,23.93
Martin Satriano,URU,Brest,28.04
Ilan Kebbal,ALG,Reims,51.49
Wajdi Kechrida,TUN,Salernitana,36.72
Marc-Oliver Kempf,GER,Hertha BSC,34.56
Saîf-Eddine Khaoui,TUN,Clermont Foot,26.83
Rani Khedira,GER,Union Berlin,85.44
Fernando Niño,ESP,Mallorca,25.87
Luca Kilian,GER,Köln,82.23
Jakub Kiwior,POL,Spezia,59.21
Sofian Kiyine,MAR,Venezia,38.81
Justin Kluivert,NED,Nice,53.33
Ansgar Knauff,GER,Eint Frankfurt,25.15
Bryan Lasme,FRA,Arminia,30.12
Sead Kolašinac,BIH,Marseille,12.63
Ibrahima Konaté,FRA,Liverpool,28.13
Kouadio Koné,FRA,M'Gladbach,69.14
Youssouf Koné,MLI,Troyes,32.15
Teun Koopmeiners,NED,Atalanta,69.07
Odilon Kossonou,CIV,Leverkusen,58.74
Rominigue Kouamé,MLI,Troyes,99.44
Viktor Kovalenko,UKR,Spezia,40.40
Simeon Nwankwo,NGA,Salernitana,31.40
Radamel Falcao,COL,Rayo Vallecano,23.83
Florian Krüger,GER,Arminia,39.75
Max Kruse,GER,Wolfsburg,36.57
Juraj Kucka,SVK,Watford,54.67
Dejan Kulusevski,SWE,Tottenham,34.43
Andrea La Mantia,ITA,Empoli,13.72
Ike Ugbo,CAN,Troyes,28.08
Janis Antiste,FRA,Spezia,24.96
Salomón Rondón,VEN,Everton,23.98
Vassilis Lambropoulos,GRE,Bochum,39.52
Érik Lamela,ARG,Sevilla,29.29
M'Baye Niang,SEN,Bordeaux,22.02
Sam Lammers,NED,Eint Frankfurt,16.73
Yasser Larouci,ALG,Troyes,11.34
Arthur,BRA,Fiorentina,20.98
Maxime Le Marchand,FRA,Strasbourg,28.23
Dickson Abiama,NGA,Greuther Fürth,26.10
Ibrahima Koné,MLI,Lorient,25.01
Pierre Lees-Melou,FRA,Norwich City,69.45
Maxim Leitsch,GER,Bochum,53.36
Mario Lemina,GAB,Nice,59.50
Christopher Lenz,GER,Eint Frankfurt,23.21
Léo Leroy,FRA,Montpellier,19.23
Krzysztof Piątek,POL,Fiorentina,24.59
Jamie Leweling,GER,Greuther Fürth,72.75
Jesper Lindstrøm,DEN,Eint Frankfurt,64.49
Valentino Livramento,ENG,Southampton,61.62
Dejan Ljubicic,AUT,Köln,67.69
Giovani Lo Celso,ARG,Villarreal,29.46
Julen Lobete,ESP,Real Sociedad,8.00
Jürgen Locadia,NED,Bochum,14.87
Manuel Locatelli,ITA,Juventus,69.84
Banzouzi Locko,FRA,Reims,29.44
Cedric Gondo,CIV,Salernitana,26.01
Ademola Lookman,NGA,Leicester City,40.30
Javi López,ESP,Alavés,14.47
Unai López,ESP,Rayo Vallecano,37.01
Dion Lopy,SEN,Reims,47.62
Samuel Loric,FRA,Lorient,8.36
Anthony Losilla,FRA,Bochum,100.00
Mamadou Loum,SEN,Alavés,71.32
Imran Louza,MAR,Watford,41.17
Matteo Lovato,ITA,Atalanta,9.97
Matteo Lovato,ITA,Cagliari,39.10
Eduard Löwen,GER,Bochum,48.13
Jean Lucas,BRA,Monaco,44.97
Anderson Lucoqui,ANG,Mainz 05,24.20
Florentino Luís,POR,Getafe,30.40
Castello Lukeba,FRA,Lyon,68.54
Ezequiel Ponce,ARG,Elche,20.93
Dodi Lukebakio,BEL,Wolfsburg,28.33
Sebastiano Luperto,ITA,Empoli,57.92
Lyanco,BRA,Southampton,25.13
Deiver Machado,COL,Lens,15.47
Pablo Maffeo,ESP,Mallorca,92.16
Roberto Soldado,ESP,Levante,19.42
Yohann Magnin,FRA,Clermont Foot,50.77
Arne Maier,GER,Augsburg,62.34
Ainsley Maitland-Niles,ENG,Roma,15.55
Luuk de Jong,NED,Barcelona,17.74
Lovro Majer,CRO,Rennes,55.01
Béni Makouana,CGO,Montpellier,9.43
Nikola Maksimović,SRB,Genoa,35.89
Youssef Maleh,ITA,Fiorentina,30.57
Jonathan Ikone,FRA,Fiorentina,20.70
Cedric Itten,SUI,Greuther Fürth,25.73
Reinildo Mandava,MOZ,Atlético Madrid,40.89
Aïssa Mandi,ALG,Villarreal,42.31
Didier Lamkel Zé,CMR,Metz,21.32
Eliaquim Mangala,FRA,Saint-Étienne,35.02
Ricardo Mangas,POR,Bordeaux,68.89
Myziane Maolida,FRA,Hertha BSC,25.03
Sekou Mara,FRA,Bordeaux,25.65
Maranhão,BRA,Valencia,28.97
Nikola Maraš,SRB,Rayo Vallecano,31.82
Marcelo,BRA,Bordeaux,27.69
Riccardo Marchizza,ITA,Empoli,39.23
Pablo Marí,ESP,Udinese,40.67
Simon Zoller,GER,Bochum,19.31
Abdessamad Ezzalzouli,MAR,Barcelona,17.76
Anthony Martial,FRA,Sevilla,13.74
Pablo Martínez,ESP,Levante,19.67
Omar Mascarell,ESP,Elche,84.30
Erhan Mašović,SRB,Bochum,52.86
Aleš Matějů,CZE,Venezia,22.72
Azor Matusiwa,NED,Reims,72.29
Pierre-Yves Hamel,FRA,Clermont Foot,17.16
Louis Mafouta,CTA,Metz,15.29
Pasquale Mazzocchi,ITA,Venezia,39.17
Pasquale Mazzocchi,ITA,Salernitana,49.69
Carlos Bacca,COL,Granada,23.52
Amadou Mbengue,SEN,Metz,17.87
Kevin Behrens,GER,Union Berlin,15.06
Hamadi Al Ghaddioui,MAR,Stuttgart,14.75
Jean-Philippe Krasso,CIV,Saint-Étienne,12.44
Evann Guessand,FRA,Nice,12.08
Jordi Mboula,ESP,Mallorca,12.78
Birger Meling,NOR,Rennes,55.59
Francesco Forte,ITA,Venezia,16.91
Nuno Mendes,POR,Paris S-G,56.23
Arial Mendy,SEN,Clermont Foot,23.28
Batista Mendy,FRA,Angers,74.55
Gideon Mensah,GHA,Bordeaux,36.70
Fran Mérida,ESP,Espanyol,8.03
Quentin Merlin,FRA,Nantes,59.89
Lionel Messi,ARG,Paris S-G,73.91
Junior Messias,BRA,Milan,42.12
Marco Meyerhöfer,GER,Greuther Fürth,88.91
Matt Miazga,USA,Alavés,25.84
Leonardo Mancuso,ITA,Empoli,12.04
Miguel,ESP,Alavés,24.92
William Mikelbrencis,FRA,Metz,17.71
Grejohn Kyei,FRA,Clermont Foot,13.54
Fabio Miretti,ITA,Juventus,10.06
Stefan Mitrović,SRB,Getafe,79.83
Philippe Koffi,FRA,Reims,12.33
Marco Modolo,ITA,Venezia,12.35
Adama Traoré,ESP,Barcelona,12.98
Kevin Möhwald,GER,Union Berlin,11.39
Cristian Molinaro,ITA,Venezia,17.60
Monchu,ESP,Granada,22.10
Gonzalo Montiel,ARG,Sevilla,31.08
Martín Montoya,ESP,Betis,16.21
Cédric Bakambu,COD,Marseille,9.41
Danny Blum,GER,Bochum,13.26
Ilaix Moriba,GUI,Valencia,25.04
Manu Morlanes,ESP,Espanyol,34.56
Bilal Brahimi,ALG,Angers,10.09
Loren Morón,ESP,Espanyol,15.77
Lebo Mothiba,RSA,Troyes,16.70
Sven Michel,GER,Union Berlin,12.95
Toni Moya,ESP,Alavés,42.97
Jessic Ngankam,GER,Greuther Fürth,12.42
Shkodran Mustafi,GER,Levante,20.30
Enock Mwepu,ZAM,Brighton,28.94
Vitaliy Mykolenko,UKR,Everton,33.74
Vital N'Simba,COD,Clermont Foot,83.57
Mickael Nade,FRA,Saint-Étienne,75.57
Nani,POR,Venezia,9.03
Nikolas Nartey,DEN,Stuttgart,12.85
Jutglà,ESP,Barcelona,8.24
David Nemeth,AUT,Mainz 05,10.69
Felipe Caicedo,ECU,Genoa,8.82
Luca Netz,GER,M'Gladbach,42.94
Jeremy Ngakia,ENG,Watford,26.18
Sikou Niakaté,FRA,Metz,18.87
Jordan Tell,FRA,Clermont Foot,9.74
Tanguy Nianzou,FRA,Bayern Munich,19.12
Håvard Nielsen,NOR,Greuther Fürth,51.15
Saúl Ñíguez,ESP,Chelsea,13.97
Dimitris Nikolaou,GRE,Spezia,100.00
Lukas Nmecha,GER,Wolfsburg,51.23
Mathias Normann,NOR,Norwich City,50.20
Randy Ntekja,FRA,Rayo Vallecano,43.23
Hans Nunoo Sarpei,GHA,Greuther Fürth,25.27
Gerzino Nyamsi,FRA,Strasbourg,94.91
Christian Nørgaard,DEN,Brentford,93.58
Adam Obert,SVK,Cagliari,8.48
Joel Obi,NGA,Salernitana,44.05
Bastian Oczipka,GER,Union Berlin,29.93
Álvaro Odriozola,ESP,Fiorentina,53.46
Florent Ogier,FRA,Clermont Foot,72.82
David Okereke,NGA,Venezia,62.24
Lucas Olaza,URU,Elche,10.30
Michael Olise,FRA,Crystal Palace,32.99
Brian Oliván,ESP,Mallorca,68.31
Sérgio Oliveira,POR,Roma,28.12
Warmed Omari,FRA,Rennes,86.83
Andrew Omobamidele,IRL,Norwich City,12.12
Amadou Onana,BEL,Lille,38.93
Jean Onana,CMR,Bordeaux,55.22
Frank Onyeka,NGA,Brentford,30.93
Patrick Osterhage,GER,Bochum,20.12
Dango Ouattara,BFA,Lorient,24.70
Azzedine Ounahi,MAR,Angers,50.95
Levin Öztunalı,GER,Union Berlin,17.65
Jon Pacheco,ESP,Real Sociedad,11.39
Isaac Palazón Camacho,ESP,Rayo Vallecano,68.84
Erik Palmer-Brown,USA,Troyes,56.55
Emerson Palmieri,ITA,Lyon,73.61
Miloš Pantović,SRB,Bochum,50.97
Fabiano Parisi,ITA,Empoli,43.58
Javier Pastore,ARG,Elche,17.79
Strahinja Pavlović,SRB,Monaco,14.89
Luca Pellegrini,ITA,Juventus,35.18
Timothee Pembele,FRA,Bordeaux,41.17
Ricardo Pepi,USA,Augsburg,15.46
Luan Peres Petroni,BRA,Marseille,79.43
Dor Peretz,ISR,Venezia,18.38
Kike Pérez,ESP,Elche,17.41
Lucas Pérez,ESP,Cádiz,31.36
Nehuén Pérez,ARG,Udinese,51.57
Diego Perotti,ARG,Salernitana,11.52
Romain Perraud,FRA,Southampton,44.59
Lucas Perrin,FRA,Strasbourg,80.86
Léo Pétrot,FRA,Lorient,57.10
Njegoš Petrović,SRB,Granada,29.72
Jens Petter Hauge,NOR,Eint Frankfurt,34.45
Alex Petxa,ESP,Athletic Club,13.36
Germán Pezzella,ARG,Betis,61.29
Giuseppe Pezzella,ITA,Atalanta,34.39
Ethan Pinnock,JAM,Brentford,82.51
Marko Pjaca,CRO,Torino,34.04
Tommaso Pobega,ITA,Torino,68.10
Marin Pongračić,CRO,Dortmund,28.21
Manolo Portanova,ITA,Genoa,40.91
Darío Poveda,ESP,Getafe,11.14
Dennis Praet,BEL,Torino,45.56
Nicolas de Préville,FRA,Metz,55.25
Pubill,ESP,Levante,15.74
Przemysław Płacheta,POL,Norwich City,15.08
Ivan Radovanović,SRB,Salernitana,41.86
Rafinha,BRA,Real Sociedad,31.65
Adil Rami,FRA,Troyes,38.63
Guilherme Ramos,POR,Arminia,33.06
Sergio Ramos,ESP,Paris S-G,29.02
Luca Ranieri,ITA,Salernitana,82.26
Tobias Raschl,GER,Greuther Fürth,23.24
Elba Rashani,KVX,Clermont Foot,50.28
Milot Rashica,KVX,Norwich City,65.81
David Raum,GER,Hoffenheim,95.97
Arkadiusz Reca,POL,Spezia,54.14
Elvis Rexhbeçaj,GER,Bochum,84.43
Nico Ribaudo,ESP,Espanyol,32.70
Franck Ribéry,FRA,Salernitana,55.86
Samuele Ricci,ITA,Torino,22.35
Samuele Ricci,ITA,Empoli,46.36
Omar Richards,ENG,Bayern Munich,14.12
Marco Richter,GER,Hertha BSC,55.07
Diego Rico,ESP,Real Sociedad,49.00
Tomás Rincón,VEN,Sampdoria,35.29
Renaud Ripart,FRA,Troyes,61.08
Connor Roberts,WAL,Burnley,48.37
Marc Roca,ESP,Bayern Munich,12.11
Rubén Rochina,ESP,Granada,24.40
Enzo Roco,CHI,Elche,85.38
Stian Rode Gregersen,NOR,Bordeaux,57.81
Gerson Rodrigues,LUX,Troyes,27.08
Kévin Rodrigues,POR,Rayo Vallecano,13.41
Ángel Rodríguez,ESP,Mallorca,46.61
Óscar Rodríguez Arnaiz,ESP,Getafe,28.83
Mads Roerslev,DEN,Brentford,36.13
Simone Romagnoli,ITA,Empoli,44.15
Cristian Romero,ARG,Tottenham,53.12
Pablo Rosario,NED,Nice,82.85
Danny Rose,ENG,Watford,19.88
Matteo Ruggeri,ITA,Salernitana,26.27
Isma Ruiz,ESP,Granada,9.35
Franco Russo,ARG,Mallorca,46.01
Georginio Rutter,FRA,Hoffenheim,52.10
Roli Pereira de Sa,FRA,Nantes,17.40
Youssouf Sabaly,SEN,Betis,24.69
Stefano Sabelli,ITA,Genoa,11.05
Abdelhamid Sabiri,MAR,Sampdoria,26.58
Marcel Sabitzer,AUT,Bayern Munich,28.64
Falaye Sacko,MLI,Saint-Étienne,20.31
Wesley Saïd,FRA,Lens,18.81
Mamadou Sakho,FRA,Montpellier,80.24
Eddie Salcedo,ITA,Spezia,12.89
William Saliba,FRA,Marseille,100.00
Yoann Salmier,GUF,Troyes,88.69
Lazar Samardzic,GER,Udinese,15.24
Mama Samba Baldé,GNB,Troyes,54.66
Albert Sambi Lokonga,BEL,Arsenal,33.61
Fede San Emeterio,ESP,Cádiz,24.94
Antonio Sánchez,ESP,Mallorca,50.83
Jadon Sancho,ENG,Manchester Utd,53.43
Baptiste Santamaria,FRA,Rennes,76.73
Samir Santos,BRA,Watford,48.05
Josh Sargent,USA,Norwich City,46.61
Malang Sarr,FRA,Chelsea,16.27
Esteban Saveljich,MNE,Rayo Vallecano,51.17
Joe Scally,USA,M'Gladbach,59.87
Giorgio Scalvini,ITA,Atalanta,24.86
Kevin Schade,GER,Freiburg,25.72
Andrea Schiavone,ITA,Salernitana,22.53
Alessandro Schöpf,AUT,Arminia,87.22
Paul Seguin,GER,Greuther Fürth,82.48
Alidu Seidu,GHA,Clermont Foot,41.49
Stefano Sensi,ITA,Sampdoria,22.94
Suat Serdar,GER,Hertha BSC,71.39
