Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Med_Cmp,Med_Att,Med_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,Prog
2070,Pietro Pellegri,it ITA,FW,Torino,it Serie A,20,2001,2.4,26,42,61.9,342,38,19,24,79.2,6,9,66.7,1,2,50,0,0.1,0,-0.1,1,1,0,0,0
2071,Pietro Pellegri,it ITA,FW,Milan,it Serie A,20,2001,1.5,12,19,63.2,108,11,9,14,64.3,2,3,66.7,0,0,,0,0.3,0.2,-0.3,3,0,0,0,0
2072,Lorenzo Pellegrini,it ITA,MF,Roma,it Serie A,25,1996,25.4,776,1106,70.2,13848,4796,351,417,84.2,279,368,75.8,114,230,49.6,3,7.9,6.9,-4.9,68,84,35,5,97
2073,Luca Pellegrini,it ITA,DF,Juventus,it Serie A,22,1999,12.3,521,682,76.4,9128,3271,237,269,88.1,222,275,80.7,55,109,50.5,1,1.9,1.8,-0.9,13,35,14,6,21
2074,Facundo Pellistri,uy URU,MFFW,Alavés,es La Liga,19,2001,7.5,105,148,70.9,1224,312,79,91,86.8,19,28,67.9,2,7,28.6,0,0.6,0.3,-0.6,6,6,5,1,8
2075,Federico Peluso,it ITA,DF,Sassuolo,it Serie A,37,1984,0.1,3,3,100,33,23,2,2,100,1,1,100,0,0,,0,0,0,0,0,0,0,0,2
2076,Timothee Pembele,fr FRA,DF,Bordeaux,fr Ligue 1,18,2002,15.7,434,609,71.3,6017,1964,267,327,81.7,142,202,70.3,12,26,46.2,1,2.5,1.5,-1.5,14,27,10,3,28
2077,Rubén Peña,es ESP,MFFW,Villarreal,es La Liga,30,1991,1.5,38,52,73.1,563,252,24,29,82.8,10,13,76.9,3,5,60,0,1,0.7,-1,2,3,3,2,2
2078,Philipp Pentke,de GER,GK,Hoffenheim,de Bundesliga,36,1985,1,31,39,79.5,704,485,8,8,100,17,17,100,6,14,42.9,0,0,0,0,0,0,0,0,0
2079,Nicolas Pépé,ci CIV,FWMF,Arsenal,eng Premier League,26,1995,7.7,283,365,77.5,4064,843,171,196,87.2,85,109,78,15,32,46.9,2,1.9,1,+0.1,12,12,9,3,12
2080,Ricardo Pepi,us USA,FWMF,Augsburg,de Bundesliga,18,2003,5.3,67,101,66.3,943,155,38,54,70.4,23,33,69.7,2,2,100,0,0.5,0.4,-0.5,5,2,3,1,3
2081,Alberto Perea,es ESP,MF,Cádiz,es La Liga,30,1990,8.6,272,372,73.1,4247,1393,138,152,90.8,99,139,71.2,21,48,43.8,1,0.9,1,+0.1,12,31,12,6,40
2082,Victor Perea,es ESP,DF,Espanyol,es La Liga,21,2000,0,2,3,66.7,31,34,1,1,100,1,1,100,0,1,0,0,0,0,0,0,0,0,0,0
2083,Brayann Pereira,fr FRA,DFMF,Lens,fr Ligue 1,18,2003,0.2,14,17,82.4,229,34,6,6,100,8,9,88.9,0,0,,0,0.2,0,-0.2,1,1,1,1,0
2084,Danilo Pereira,pt POR,MF,Paris S-G,fr Ligue 1,29,1991,22.6,1463,1547,94.6,24359,7069,658,686,95.9,657,684,96.1,96,111,86.5,0,0.6,0.9,-0.6,6,97,4,0,80
2085,Mathias Pereira Lage,pt POR,DF,Angers,fr Ligue 1,24,1996,11.6,363,525,69.1,5461,2050,195,245,79.6,142,207,68.6,13,39,33.3,2,1.3,1,+0.7,9,31,5,2,32
2086,Ricardo Pereira,pt POR,DF,Leicester City,eng Premier League,27,1993,11,519,655,79.2,7167,2380,329,370,88.9,162,206,78.6,18,38,47.4,3,1.4,1.2,+1.6,10,19,17,2,35
2087,Gastón Pereiro,uy URU,FWMF,Cagliari,it Serie A,26,1995,10.8,237,372,63.7,3888,1147,118,166,71.1,80,117,68.4,27,55,49.1,2,2.1,1.9,-0.1,20,24,12,5,24
2088,Luan Peres Petroni,br BRA,DF,Marseille,fr Ligue 1,27,1994,29.8,1725,1975,87.3,28535,7722,830,892,93,722,808,89.4,128,206,62.1,2,1.5,1.3,+0.5,17,136,7,6,65
2089,Dor Peretz,il ISR,MF,Venezia,it Serie A,26,1995,6.5,175,234,74.8,2632,758,94,118,79.7,55,64,85.9,13,24,54.2,1,0.2,0.1,+0.8,4,20,1,0,15
2090,Roberto Pereyra,ar ARG,MFFW,Udinese,it Serie A,30,1991,19.9,718,842,85.3,10354,2860,413,456,90.6,225,262,85.9,42,60,70,5,4.3,3.3,+0.7,25,61,28,2,83
2091,Ayoze Pérez,es ESP,MFFW,Leicester City,eng Premier League,28,1993,4.9,123,156,78.8,1552,421,75,89,84.3,29,35,82.9,5,8,62.5,3,1.9,0.6,+1.1,11,12,5,0,13
2092,Carles Pérez,es ESP,MFFW,Roma,it Serie A,23,1998,6.2,205,244,84,3230,632,111,123,90.2,71,79,89.9,16,26,61.5,1,1.3,0.9,-0.3,15,17,6,0,11
2093,Iñigo Pérez,es ESP,MF,Osasuna,es La Liga,33,1988,3.8,96,153,62.7,1672,593,55,70,78.6,24,38,63.2,13,37,35.1,0,0.9,0.7,-0.9,8,14,6,4,11
2094,Juan Pérez,es ESP,GK,Osasuna,es La Liga,25,1996,2,20,41,48.8,750,629,5,5,100,3,5,60,12,31,38.7,0,0,0,0,0,3,0,0,0
2095,Kike Pérez,es ESP,MFFW,Elche,es La Liga,24,1997,5.8,181,248,73,2800,778,103,122,84.4,58,75,77.3,15,24,62.5,0,1.2,0.4,-1.2,6,18,4,0,11
2096,Lucas Pérez,es ESP,FW,Elche,es La Liga,32,1988,14.1,274,383,71.5,4143,1069,163,190,85.8,60,90,66.7,31,62,50,1,1.7,1.2,-0.7,12,19,8,1,19
2097,Lucas Pérez,es ESP,FWMF,Cádiz,es La Liga,32,1988,11.8,277,389,71.2,4583,1273,131,151,86.8,95,124,76.6,33,81,40.7,2,4.3,3.5,-2.3,30,18,17,5,22
2098,Nehuén Pérez,ar ARG,DF,Udinese,it Serie A,21,2000,18.8,593,774,76.6,10904,4448,248,282,87.9,265,322,82.3,64,131,48.9,1,0.7,0.5,+0.3,6,43,1,0,26
2099,Mattia Perin,it ITA,GK,Juventus,it Serie A,28,1992,4.5,111,135,82.2,2599,1501,33,33,100,52,52,100,25,48,52.1,0,0,0,0,0,1,0,0,0
2100,Ivan Perišić,hr CRO,DF,Inter,it Serie A,32,1989,31.3,1079,1510,71.5,19289,6652,515,616,83.6,413,557,74.1,127,221,57.5,6,8.6,6.7,-2.6,57,75,59,26,104
2101,Sonny Perkins,eng ENG,FW,West Ham,eng Premier League,17,2004,0,,,,,,,,,,,,,,,0,,,,,,,,
2102,Diego Perotti,ar ARG,MFFW,Salernitana,it Serie A,33,1988,3.2,112,147,76.2,1555,455,73,82,89,30,40,75,6,18,33.3,0,0.4,0.5,-0.4,5,7,5,4,5
2103,Romain Perraud,fr FRA,DF,Southampton,eng Premier League,23,1997,18,478,749,63.8,6658,2707,296,361,82,148,236,62.7,19,84,22.6,1,0.5,0.5,+0.5,8,36,8,5,32
2104,Lucas Perrin,fr FRA,DF,Strasbourg,fr Ligue 1,22,1998,27.8,1221,1454,84,23170,9040,437,478,91.4,621,692,89.7,142,234,60.7,1,0.8,1.5,+0.2,9,140,18,2,113
2105,Mario Perrone,it ITA,DF,Salernitana,it Serie A,18,2003,0.2,7,10,70,112,43,3,3,100,4,4,100,0,3,0,0,0,0,0,0,0,0,0,0
2106,Pavao Pervan,at AUT,GK,Wolfsburg,de Bundesliga,33,1987,6,159,207,76.8,3860,2542,38,39,97.4,79,82,96.3,40,84,47.6,0,0,0,0,0,0,0,0,0
2107,Matteo Pessina,it ITA,MFFW,Atalanta,it Serie A,24,1997,16,718,880,81.6,10454,2860,421,477,88.3,241,283,85.2,30,39,76.9,1,2,1.4,-1,24,48,16,2,52
2108,Andrea Petagna,it ITA,FW,Napoli,it Serie A,26,1995,6.5,114,162,70.4,1523,233,73,93,78.5,27,38,71.1,4,10,40,1,1.7,1.1,-0.7,10,5,3,0,5
2109,Nils Petersen,de GER,FW,Freiburg,de Bundesliga,32,1988,6.4,83,137,60.6,1061,195,59,79,74.7,16,32,50,3,6,50,1,0.6,0.5,+0.4,7,3,4,1,4
2110,Danijel Petković,me MNE,GK,Angers,fr Ligue 1,28,1993,15,352,456,77.2,9169,5622,55,55,100,188,191,98.4,107,205,52.2,0,0,0,0,0,0,0,0,0
2111,Léo Pétrot,fr FRA,DF,Lorient,fr Ligue 1,24,1997,20.2,788,954,82.6,15977,5290,250,278,89.9,413,456,90.6,115,193,59.6,0,0.1,0.1,-0.1,2,42,0,0,35
2112,Njegoš Petrović,rs SRB,MF,Granada,es La Liga,22,1999,10.2,266,338,78.7,4051,1239,136,161,84.5,88,112,78.6,23,31,74.2,1,0.2,0.2,+0.8,3,26,2,0,24
2113,Jens Petter Hauge,no NOR,MFFW,Eint Frankfurt,de Bundesliga,21,1999,11.6,305,426,71.6,4386,848,185,229,80.8,85,109,78,19,43,44.2,2,1.4,0.9,+0.6,12,16,8,2,22
2114,Alex Petxa,es ESP,DFMF,Athletic Club,es La Liga,24,1997,4.6,193,267,72.3,3097,1159,96,114,84.2,77,102,75.5,14,39,35.9,0,0.3,0.4,-0.3,1,18,3,0,16
2115,Germán Pezzella,ar ARG,DF,Betis,es La Liga,30,1991,22.1,898,1032,87,16554,5563,300,330,90.9,530,567,93.5,60,112,53.6,0,0,0.2,0,0,20,3,0,19
2116,Giuseppe Pezzella,it ITA,DFMF,Atalanta,it Serie A,23,1997,11.9,508,658,77.2,7346,2203,315,352,89.5,145,183,79.2,32,68,47.1,2,1.1,0.8,+0.9,9,30,7,3,30
2117,Immanuel Pherai,nl NED,MF,Dortmund,de Bundesliga,20,2001,0,0,0,,0,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
2118,Maximilian Philipp,de GER,MF,Wolfsburg,de Bundesliga,27,1994,10.7,248,332,74.7,3508,989,138,162,85.2,79,89,88.8,11,42,26.2,4,1.5,1.3,+2.5,17,14,12,3,23
2119,Romain Philippoteaux,fr FRA,MF,Brest,fr Ligue 1,33,1988,0.3,6,7,85.7,88,19,4,4,100,2,2,100,0,0,,0,0,0,0,0,0,0,0,0
2120,Kalvin Phillips,eng ENG,MF,Leeds United,eng Premier League,25,1995,17.7,786,971,80.9,15278,4563,284,320,88.8,396,440,90,98,170,57.6,1,1,0.6,0,9,79,12,2,69
2121,Jaden Philogene Bidace,eng ENG,FW,Aston Villa,eng Premier League,19,2002,0.1,0,2,0,0,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
2122,Jérôme Phojo,fr FRA,DF,Clermont Foot,fr Ligue 1,28,1993,0.1,3,4,75,31,21,3,4,75,0,0,,0,0,,0,0,0,0,0,0,0,0,1
2123,Krzysztof Piątek,pl POL,FW,Fiorentina,it Serie A,26,1995,8.1,126,158,79.7,1791,287,64,74,86.5,54,61,88.5,3,4,75,0,1,0.8,-1,6,7,5,1,10
2124,Krzysztof Piątek,pl POL,FW,Hertha BSC,de Bundesliga,26,1995,3.9,50,82,61,676,70,31,43,72.1,11,19,57.9,4,9,44.4,0,0,0,0,0,3,0,0,2
2125,Pablo Piatti,ar ARG,MFFW,Elche,es La Liga,32,1989,3.5,75,101,74.3,1003,187,44,56,78.6,19,25,76,4,5,80,0,0.5,0.4,-0.5,4,1,2,0,2
2126,Cristiano Piccini,it ITA,DF,Valencia,es La Liga,28,1992,3.6,95,141,67.4,2044,1073,34,42,81,39,49,79.6,20,44,45.5,0,0.2,0.3,-0.2,2,7,3,3,10
2127,Roberto Piccoli,it ITA,FW,Genoa,it Serie A,20,2001,2.4,29,56,51.8,349,42,21,33,63.6,5,15,33.3,1,2,50,0,0.2,0.1,-0.2,4,2,1,1,1
2128,Roberto Piccoli,it ITA,FW,Atalanta,it Serie A,20,2001,2.2,30,43,69.8,382,54,21,28,75,8,10,80,0,0,,0,0.4,0.1,-0.4,4,1,0,0,0
2129,Jordan Pickford,eng ENG,GK,Everton,eng Premier League,27,1994,35,608,1147,53,23302,19151,83,83,100,204,208,98.1,321,848,37.9,0,0.1,0.2,-0.1,4,64,3,0,0
2130,Jérémy Pied,fr FRA,DFFW,Lille,fr Ligue 1,32,1989,0.1,17,25,68,202,65,12,14,85.7,4,6,66.7,0,3,0,0,0,0,0,1,3,1,1,0
2131,Amos Pieper,de GER,DF,Arminia,de Bundesliga,23,1998,26.4,902,1158,77.9,18375,6505,244,301,81.1,544,617,88.2,107,220,48.6,0,0.5,0.6,-0.5,5,53,4,2,50
2132,Ronaël Pierre-Gabriel,fr FRA,DF,Brest,fr Ligue 1,23,1998,28.3,1198,1428,83.9,18255,7192,633,706,89.7,443,508,87.2,69,113,61.1,1,1.7,2.3,-0.7,15,102,21,9,93
2133,Erik Pieters,nl NED,DF,Burnley,eng Premier League,32,1988,8.1,242,348,69.5,3727,1517,131,160,81.9,85,112,75.9,15,43,34.9,1,0.9,0.3,+0.1,2,16,1,1,17
2134,Tomás Pina Isla,es ESP,MF,Alavés,es La Liga,33,1987,16,455,586,77.6,6879,2005,257,300,85.7,167,199,83.9,20,37,54.1,0,0.3,0.6,-0.3,2,46,1,0,27
2135,Andrea Pinamonti,it ITA,FW,Empoli,it Serie A,22,1999,31.9,381,636,59.9,4696,1047,241,348,69.3,92,157,58.6,11,24,45.8,2,3.2,1.4,-1.2,29,25,21,3,34
2136,Orbelín Pineda,mx MEX,MFFW,Celta Vigo,es La Liga,25,1996,1.1,57,66,86.4,866,309,30,33,90.9,18,20,90,4,5,80,0,0.1,0.3,-0.1,1,8,2,0,9
2137,Ethan Pinnock,jm JAM,DF,Brentford,eng Premier League,28,1993,29.9,1218,1647,74,21899,8784,506,605,83.6,591,768,77,105,227,46.3,1,1.2,1.4,-0.2,11,81,6,4,56
2138,Yeremi Pino,es ESP,MFFW,Villarreal,es La Liga,18,2002,18.6,409,530,77.2,5481,1236,239,287,83.3,130,153,85,14,22,63.6,4,3.7,2.7,+0.3,26,9,23,2,44
2139,Carlo Pinsoglio,it ITA,GK,Juventus,it Serie A,31,1990,0.5,10,11,90.9,293,227,0,0,,6,6,100,4,5,80,0,0,0,0,0,0,0,0,0
2140,Riccardo Pinzi,it ITA,FW,Udinese,it Serie A,17,2003,0,0,1,0,0,0,0,0,,0,1,0,0,0,,0,0,0,0,0,0,0,0,0
2141,Gerard Piqué,es ESP,DF,Barcelona,es La Liga,34,1987,23.2,1514,1688,89.7,30235,9975,439,486,90.3,871,913,95.4,175,242,72.3,0,0.6,0.6,-0.6,5,114,3,0,93
2142,Marko Pjaca,hr CRO,MF,Torino,it Serie A,26,1995,12.8,322,420,76.7,4593,1135,194,239,81.2,97,121,80.2,17,30,56.7,0,1.4,1.4,-1.4,15,26,19,6,34
2143,Marvin Plattenhardt,de GER,DF,Hertha BSC,de Bundesliga,29,1992,18.2,650,941,69.1,11525,5898,307,342,89.8,259,367,70.6,70,183,38.3,3,4.4,4.1,-1.4,39,34,12,11,40
2144,Alassane Pléa,fr FRA,MFFW,M'Gladbach,de Bundesliga,28,1993,23,575,791,72.7,9466,3103,285,357,79.8,198,249,79.5,61,90,67.8,6,8.4,7.6,-2.4,56,82,39,4,121
2145,Tommaso Pobega,it ITA,MF,Torino,it Serie A,22,1999,24.9,918,1174,78.2,15319,4567,454,550,82.5,371,440,84.3,78,115,67.8,2,2.6,1,-0.6,24,123,17,1,88
2146,Daniel Podence,pt POR,FWMF,Wolves,eng Premier League,25,1995,16.5,449,637,70.5,6967,2148,248,302,82.1,121,184,65.8,49,78,62.8,3,4.5,3.2,-1.5,36,32,36,10,61
2147,Suf Podgoreanu,il ISR,FW,Spezia,it Serie A,19,2002,1.3,39,53,73.6,511,75,25,27,92.6,10,14,71.4,1,3,33.3,1,0,0.1,+1.0,1,1,2,1,1
2148,Paul Pogba,fr FRA,MFFW,Manchester Utd,eng Premier League,28,1993,15,736,893,82.4,13244,3871,350,400,87.5,255,296,86.1,105,132,79.5,9,4,2.8,+5.0,24,99,24,2,89
2149,Joel Pohjanpalo,fi FIN,FW,Leverkusen,de Bundesliga,26,1994,0.1,1,3,33.3,6,0,1,1,100,0,1,0,0,0,,0,0,0,0,0,0,0,0,0
2150,Matteo Politano,it ITA,FW,Napoli,it Serie A,27,1993,18.3,542,776,69.8,8013,2339,334,382,87.4,140,221,63.3,44,106,41.5,4,3.8,3.1,+0.2,32,24,27,10,48
2151,Julian Pollersbeck,de GER,GK,Lyon,fr Ligue 1,26,1994,4.8,149,174,85.6,3354,2336,41,41,100,81,81,100,27,52,51.9,0,0,0,0,0,1,0,0,0
2152,Sebastian Polter,de GER,FW,Bochum,de Bundesliga,30,1991,26,269,501,53.7,3503,1072,163,260,62.7,68,135,50.4,13,30,43.3,1,2.7,1.4,-1.7,28,29,6,1,37
2153,Ezequiel Ponce,ar ARG,FW,Elche,es La Liga,24,1997,7.4,123,164,75,1532,220,80,93,86,20,28,71.4,10,12,83.3,0,0.4,0.2,-0.4,7,7,3,0,6
2154,Marin Pongračić,hr CRO,DF,Dortmund,de Bundesliga,23,1997,9.2,545,635,85.8,10328,3608,184,198,92.9,300,337,89,52,85,61.2,0,0,0.1,0,1,23,1,0,23
2155,Pere Pons,es ESP,MF,Alavés,es La Liga,28,1993,15.2,267,374,71.4,3994,984,148,187,79.1,93,126,73.8,14,27,51.9,0,1,0.5,-1,12,22,8,2,22
2156,Nick Pope,eng ENG,GK,Burnley,eng Premier League,29,1992,36,556,1088,51.1,24142,21499,35,40,87.5,129,135,95.6,392,901,43.5,0,0.1,0.2,-0.1,2,49,3,0,0
2157,Manolo Portanova,it ITA,FWMF,Genoa,it Serie A,21,2000,14.7,181,323,56,2559,862,106,145,73.1,47,96,49,14,47,29.8,0,0.7,0.6,-0.7,9,14,7,0,26
2158,Portu,es ESP,FWMF,Real Sociedad,es La Liga,29,1992,17.7,353,486,72.6,4582,1293,209,258,81,102,135,75.6,8,25,32,2,2.4,2.6,-0.4,18,19,22,5,34
2159,Stefan Posch,at AUT,DF,Hoffenheim,de Bundesliga,24,1997,24.4,1134,1416,80.1,20426,7670,467,517,90.3,549,628,87.4,107,223,48,0,0.7,0.7,-0.7,5,74,8,2,76
2160,Sergio Postigo,es ESP,DF,Levante,es La Liga,32,1988,9.4,304,364,83.5,5624,2444,111,121,91.7,162,174,93.1,29,63,46,0,0.1,0.1,-0.1,3,15,0,0,19
2161,Yussuf Poulsen,dk DEN,FWMF,RB Leipzig,de Bundesliga,27,1994,12,212,324,65.4,2714,743,132,175,75.4,50,73,68.5,10,17,58.8,0,1.8,1.7,-1.8,8,14,9,1,21
2162,Gaëtan Poussin,fr FRA,GK,Bordeaux,fr Ligue 1,22,1999,13,346,484,71.5,9602,7196,67,71,94.4,153,154,99.4,124,257,48.2,0,0,0,0,0,1,0,0,0
2163,Darío Poveda,es ESP,FWMF,Getafe,es La Liga,24,1997,4.2,48,86,55.8,678,141,26,45,57.8,11,20,55,5,11,45.5,0,0.1,0.2,-0.1,3,4,1,1,3
2164,José Pozo,es ESP,MFDF,Rayo Vallecano,es La Liga,25,1996,0.8,46,53,86.8,707,286,22,25,88,18,20,90,3,3,100,0,0.4,0.6,-0.4,3,6,7,1,9
2165,Dennis Praet,be BEL,MF,Torino,it Serie A,27,1994,17.1,430,588,73.1,6410,1650,247,292,84.6,144,196,73.5,22,45,48.9,2,4,3.5,-2,25,35,24,11,38
2166,Mateusz Praszelik,pl POL,MF,Hellas Verona,it Serie A,20,2000,0.3,9,11,81.8,80,10,6,8,75,1,1,100,0,0,,0,0,0,0,0,1,0,0,0
2167,Abdón Prats,es ESP,FW,Mallorca,es La Liga,28,1992,7.1,104,156,66.7,1283,294,64,96,66.7,22,28,78.6,4,7,57.1,0,0.8,0.4,-0.8,10,9,4,0,10
2168,Sanjin Prcić,ba BIH,MF,Strasbourg,fr Ligue 1,27,1993,24.3,1176,1401,83.9,22941,6351,443,496,89.3,518,576,89.9,188,261,72,0,2.3,2.8,-2.3,23,141,24,3,115
2169,Nicolas de Préville,fr FRA,FWMF,Metz,fr Ligue 1,30,1991,21.9,398,600,66.3,6606,1656,203,272,74.6,130,184,70.7,45,86,52.3,2,2.9,2.6,-0.9,27,37,11,6,25
2170,Isaac Price,nir NIR,MF,Everton,eng Premier League,17,2003,0.2,1,2,50,16,0,0,0,,1,2,50,0,0,,0,0,0,0,0,0,0,0,0
2171,Manuel Prietl,at AUT,MF,Arminia,de Bundesliga,29,1991,23.6,518,665,77.9,8804,2644,229,282,81.2,230,272,84.6,38,65,58.5,1,0.8,0.8,+0.2,6,50,4,0,40
2172,Alejandro Primo,es ESP,GK,Levante,es La Liga,17,2004,1,20,25,80,450,300,7,7,100,10,10,100,3,8,37.5,0,0,0,0,0,1,0,0,0
2173,Grischa Prömel,de GER,MF,Union Berlin,de Bundesliga,26,1995,26.9,713,949,75.1,12183,3004,303,378,80.2,315,390,80.8,63,96,65.6,1,1.4,1.3,-0.4,14,75,12,1,74
2174,Nick Proschwitz,de GER,FW,Hoffenheim,de Bundesliga,34,1986,0.3,3,4,75,32,1,1,2,50,1,1,100,0,0,,0,0,0,0,0,1,0,0,0
2175,Ivan Provedel,it ITA,GK,Spezia,it Serie A,27,1994,30.7,736,1199,61.4,23789,17852,95,96,99,291,301,96.7,349,788,44.3,0,0,0.1,0,0,25,1,0,2
2176,Javi Puado,es ESP,MFFW,Espanyol,es La Liga,23,1998,24.9,520,638,81.5,7019,1224,320,356,89.9,146,176,83,20,32,62.5,1,1.3,1.4,-0.3,21,26,17,2,34
2177,Pubill,es ESP,DFMF,Levante,es La Liga,18,2003,5.7,209,269,77.7,3259,871,108,127,85,80,93,86,16,29,55.2,1,1.1,0.4,-0.1,6,10,6,2,9
2178,Antonio Puertas,es ESP,MFFW,Granada,es La Liga,29,1992,25.1,482,690,69.9,7080,1803,278,349,79.7,139,190,73.2,35,65,53.8,1,1.5,1,-0.5,18,30,18,8,34
2179,Riqui Puig,es ESP,MF,Barcelona,es La Liga,21,1999,5.4,418,453,92.3,6140,1047,231,241,95.9,123,133,92.5,32,38,84.2,0,0.3,0.4,-0.3,5,29,6,0,20
2180,Teemu Pukki,fi FIN,FW,Norwich City,eng Premier League,31,1990,36.1,399,540,73.9,5175,838,257,308,83.4,94,124,75.8,19,27,70.4,3,3.6,2.9,-0.6,27,21,6,1,19
2181,Erick Pulgar,cl CHI,MF,Fiorentina,it Serie A,27,1994,3.8,208,239,87,4047,1023,70,81,86.4,111,116,95.7,23,32,71.9,1,0.7,0.8,+0.3,7,19,2,1,13
2182,Christian Pulisic,us USA,MFFW,Chelsea,eng Premier League,22,1998,14.3,362,464,78,4638,921,240,279,86,100,121,82.6,7,13,53.8,2,1.9,1.1,+0.1,15,19,6,0,21
2183,Afimico Pululu,fr FRA,FWMF,Greuther Fürth,de Bundesliga,22,1999,0.8,15,22,68.2,213,57,9,12,75,5,6,83.3,1,2,50,0,0,0,0,0,3,0,0,0
2184,Ignacio Pussetto,ar ARG,FWMF,Udinese,it Serie A,25,1995,13.4,195,292,66.8,2873,707,107,141,75.9,63,92,68.5,11,17,64.7,4,2.6,1.1,+1.4,15,19,6,2,22
2185,Niklas Pyyhtiä,fi FIN,MF,Bologna,it Serie A,17,2003,0.2,20,24,83.3,358,106,7,7,100,12,14,85.7,1,2,50,0,0,0,0,0,4,1,0,3
2186,Przemysław Płacheta,pl POL,FWMF,Norwich City,eng Premier League,23,1998,5.6,109,163,66.9,1640,469,65,77,84.4,30,44,68.2,8,19,42.1,0,0.8,0.6,-0.8,4,6,5,2,8
2187,Yacine Qasmi,ma MAR,FW,Rayo Vallecano,es La Liga,30,1991,0,1,2,50,16,0,0,1,0,1,1,100,0,0,,0,0,0,0,0,0,0,0,0
2188,Fabio Quagliarella,it ITA,FW,Sampdoria,it Serie A,38,1983,18.5,320,466,68.7,5214,1113,173,220,78.6,91,128,71.1,39,66,59.1,2,1.9,2,+0.1,19,28,18,7,25
2189,Quini,es ESP,DF,Granada,es La Liga,31,1989,25.6,663,972,68.2,10870,4507,331,393,84.2,251,351,71.5,54,150,36,1,1.5,0.7,-0.5,18,37,13,6,40
2190,Dani Raba,es ESP,MFFW,Villarreal,es La Liga,25,1995,1,29,48,60.4,531,122,13,18,72.2,7,13,53.8,6,13,46.2,0,0.3,0.3,-0.3,4,1,2,0,4
2191,Dani Raba,es ESP,MFFW,Granada,es La Liga,25,1995,0.3,2,3,66.7,32,6,1,1,100,1,1,100,0,1,0,0,0,0,0,0,0,0,0,0
2192,Adrien Rabiot,fr FRA,MF,Juventus,it Serie A,26,1995,25.4,862,1053,81.9,13474,3586,436,508,85.8,340,395,86.1,54,75,72,2,2,2,0,21,72,16,3,60
2193,Uroš Račić,rs SRB,MF,Valencia,es La Liga,23,1998,13.4,370,506,73.1,7371,1885,138,177,78,140,170,82.4,76,120,63.3,0,0.5,0.5,-0.5,5,55,2,2,35
2194,Nemanja Radoja,rs SRB,MF,Levante,es La Liga,28,1993,13.5,384,460,83.5,6037,1564,210,230,91.3,137,154,89,25,40,62.5,0,0.6,0.4,-0.6,7,29,4,1,20
2195,Nemanja Radonjić,rs SRB,FW,Marseille,fr Ligue 1,25,1996,0.2,9,10,90,107,48,8,8,100,0,0,,1,1,100,0,0.2,0.2,-0.2,1,0,0,0,0
2196,Ivan Radovanović,rs SRB,DFMF,Salernitana,it Serie A,32,1988,11.7,428,520,82.3,8844,3454,146,163,89.6,199,234,85,76,105,72.4,1,1.3,0.9,-0.3,5,33,2,0,22
2197,Ionuț Radu,ro ROU,GK,Inter,it Serie A,24,1997,1,19,23,82.6,535,329,2,2,100,9,9,100,8,12,66.7,0,0,0,0,0,1,0,0,0
2198,Ștefan Radu,ro ROU,DF,Lazio,it Serie A,34,1986,6.2,268,330,81.2,4329,1810,121,139,87.1,124,146,84.9,15,31,48.4,0,0,0,0,0,21,0,0,16
2199,Boris Radunović,rs SRB,GK,Cagliari,it Serie A,25,1996,3,55,100,55,1975,1599,10,10,100,18,18,100,27,72,37.5,0,0,0,0,0,3,0,0,0
2200,Sidney Raebiger,de GER,MF,RB Leipzig,de Bundesliga,16,2005,0,2,2,100,27,6,2,2,100,0,0,,0,0,,0,0,0,0,0,0,0,0,0
2201,Rafinha,br BRA,MF,Real Sociedad,es La Liga,28,1993,11.7,582,677,86,8313,2063,338,367,92.1,170,189,89.9,37,59,62.7,0,0.6,1.2,-0.6,9,66,11,2,33
2202,Rafinha,br BRA,FWMF,Paris S-G,fr Ligue 1,28,1993,2.4,169,188,89.9,2387,419,89,97,91.8,61,67,91,7,9,77.8,0,0.1,0.1,-0.1,2,16,1,0,10
2203,Antonio Raillo,es ESP,DF,Mallorca,es La Liga,29,1991,17,532,624,85.3,10123,3924,194,210,92.4,256,277,92.4,70,115,60.9,0,0,0.1,0,0,28,1,0,30
2204,Antonio Raimondo,it ITA,FW,Bologna,it Serie A,17,2004,0.8,6,10,60,70,1,5,5,100,1,2,50,0,0,,0,0,0,0,0,0,0,0,0
2205,Predrag Rajković,rs SRB,GK,Reims,fr Ligue 1,25,1995,38,898,1266,70.9,24556,16666,155,156,99.4,418,429,97.4,312,660,47.3,0,0,0.3,0,1,24,2,0,1
2206,Jesuran Rak Sakyi,eng ENG,FWMF,Crystal Palace,eng Premier League,18,2002,0.9,22,26,84.6,246,32,17,17,100,2,2,100,1,1,100,0,0,0,0,0,1,0,0,0
2207,Ivan Rakitić,hr CRO,MF,Sevilla,es La Liga,33,1988,24.2,1380,1660,83.1,25864,6846,595,652,91.3,564,634,89,186,290,64.1,6,3.3,3.3,+2.7,41,123,13,4,94
