Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Miguel Baeza,es ESP,DF,Celta Vigo,es La Liga,21,2000,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Nicola Bagnolini,it ITA,GK,Bologna,it Serie A,17,2004,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Issa Bah,lu LUX,FW,Venezia,it Serie A,19,2002,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Stéphane Bahoken,cm CMR,FW,Angers,fr Ligue 1,29,1992,12,13,8,2,7,4,1,9,11.1,8,15,0,15,3,16,3,0
Leon Bailey,jm JAM,FWMF,Aston Villa,eng Premier League,23,1997,9,17,11,6,8,3,6,13,46.2,7,10,1,9,1,18,2,0
Eric Bailly,ci CIV,DF,Manchester Utd,eng Premier League,27,1994,2,5,4,4,0,1,3,4,75.0,1,4,2,2,3,8,11,0
Dénys Bain,fr FRA,DF,Brest,fr Ligue 1,28,1993,2,3,3,1,2,0,1,1,100.0,0,3,1,2,3,6,5,0
Stefan Bajic,fr FRA,GK,Saint-Étienne,fr Ligue 1,19,2001,6,0,0,0,0,0,0,0,,0,0,0,0,0,0,4,0
Nedim Bajrami,al ALB,MFFW,Empoli,it Serie A,22,1999,23,21,14,5,13,3,4,14,28.6,10,11,0,11,3,24,8,0
Cédric Bakambu,cd COD,FW,Marseille,fr Ligue 1,30,1991,4,2,0,1,0,1,0,3,0.0,3,2,0,2,0,2,1,0
Abdoulaye Bakayoko,fr FRA,DF,Saint-Étienne,fr Ligue 1,18,2002,3,15,9,12,3,0,8,12,66.7,4,5,4,1,11,26,16,0
Tiemoué Bakayoko,fr FRA,MF,Milan,it Serie A,26,1994,6,19,13,9,7,3,5,16,31.3,11,8,1,7,9,28,10,2
Mitchel Bakker,nl NED,DF,Leverkusen,de Bundesliga,21,2000,20,33,22,16,12,5,20,34,58.8,14,13,2,11,23,56,42,3
